Time,Open,High,Low,Close,Volume
2025-01-06,213.31,223.14,211.41,218.11,11758842.0
2025-01-07,218.1,219.04,201.36,202.07,16172122.0
2025-01-08,202.06,203.2,188.23,197.37,21459230.0
2025-01-09,197.37,198.98,181.85,184.88,16441467.0
2025-01-10,184.87,192.93,183.38,187.59,14664976.0
2025-01-11,187.59,191.82,184.01,187.99,7318839.0
2025-01-12,187.99,190.98,185.04,188.43,6414635.0
2025-01-13,188.43,191.94,167.71,182.78,24909157.0
2025-01-14,182.77,190.08,181.77,187.46,11207604.0
2025-01-15,187.45,205.94,185.76,205.76,16281403.0
2025-01-16,205.76,217.14,198.42,211.02,22599445.0
2025-01-17,211.03,222.09,209.71,219.46,18335847.0
2025-01-18,219.46,270.7,217.18,261.9,64476581.0
2025-01-19,261.91,295.6,237.69,252.52,73470822.0
2025-01-20,252.49,273.0,229.27,241.89,51782047.0
2025-01-21,241.88,259.89,230.3,250.26,27837731.0
2025-01-22,250.25,272.05,248.24,257.3,25551650.0
2025-01-23,257.31,258.38,242.01,253.01,26797640.0
2025-01-24,253.01,270.11,247.09,253.22,20558642.0
2025-01-25,253.22,260.76,246.09,256.32,14384756.0
2025-01-26,256.32,259.99,240.16,240.32,12427133.0
2025-01-27,240.32,242.53,220.76,234.77,34871094.0
2025-01-28,234.79,243.77,225.0,226.91,17754677.0
2025-01-29,226.92,238.59,222.45,228.04,19766679.0
2025-01-30,228.04,244.59,226.71,238.15,14062399.0
2025-01-31,238.15,241.8,228.1,231.59,13247461.0
2025-02-01,231.6,234.02,212.58,212.89,12487995.0
2025-02-02,212.88,218.71,191.85,203.42,32839924.0
2025-02-03,203.42,218.42,173.33,216.2,48288452.0
2025-02-04,216.19,219.89,201.756,206.48,27239923.0
2025-02-05,206.49,209.26,195.05,196.03,15772491.0
2025-02-06,196.03,203.86,187.16,189.45,17548603.0
2025-02-07,189.45,203.31,188.0,191.84,19668969.0
2025-02-08,191.84,200.75,189.67,199.21,9516816.0
2025-02-09,199.22,207.26,193.22,200.32,14085475.0
2025-02-10,200.31,208.9,195.71,200.32,15332965.0
2025-02-11,200.32,206.07,194.94,197.87,14219966.0
2025-02-12,197.86,198.49,188.3,196.71,16639131.0
2025-02-13,196.71,198.4,188.7,194.12,11143522.0
2025-02-14,194.12,205.3,194.02,199.31,13253377.0
2025-02-15,199.31,200.21,192.3,194.35,7532129.0
2025-02-16,194.35,196.18,186.0,188.14,10972253.0
2025-02-17,188.15,189.61,174.55,177.47,21533353.0
2025-02-18,177.47,178.99,160.77,169.21,34977765.0
2025-02-19,169.22,174.24,163.64,168.85,21567609.0
2025-02-20,168.86,176.59,167.52,175.9,15676873.0
2025-02-21,175.9,180.48,167.1,168.83,23614218.0
2025-02-22,168.84,174.67,167.98,171.98,9539412.0
2025-02-23,171.99,172.99,166.32,167.84,8522631.0
2025-02-24,167.84,169.58,137.16,141.73,40738410.0
2025-02-25,141.73,147.0,131.72,144.24,58424968.0
2025-02-26,144.25,145.16,130.54,135.27,35461521.0
2025-02-27,135.28,142.8,134.61,137.6,25190372.0
2025-02-28,137.6,148.69,125.52,148.1,50846289.0
2025-03-01,148.1,151.15,138.5,143.58,22723905.0
2025-03-02,143.57,180.0,139.96,178.64,56906128.0
2025-03-03,178.64,179.44,139.19,142.05,54165734.0
2025-03-04,142.05,146.8,130.52,144.7,50888782.0
2025-03-05,144.69,149.66,140.12,146.16,25732247.0
2025-03-06,146.17,152.85,142.32,143.22,23968768.0
2025-03-07,143.22,150.86,135.0,139.31,36719254.0
2025-03-08,139.31,140.99,135.19,136.92,12033588.0
2025-03-09,136.93,139.79,125.37,126.42,22039157.0
2025-03-10,126.42,131.5,115.43,118.26,38703346.0
2025-03-11,118.27,128.36,111.83,125.28,37472663.0
2025-03-12,125.27,131.26,121.16,126.55,28491735.0
2025-03-13,126.54,128.79,120.66,123.32,21642285.0
2025-03-14,123.32,136.07,122.89,133.49,21467520.0
2025-03-15,133.48,136.47,132.36,135.79,11738984.0
2025-03-16,135.8,136.68,125.11,126.05,20105042.0
2025-03-17,126.05,130.56,125.44,127.93,18702871.0
2025-03-18,127.92,128.1,121.66,125.25,17764133.0
2025-03-19,125.25,136.06,124.14,135.3,24365586.0
2025-03-20,135.3,136.08,126.56,127.53,16400296.0
2025-03-21,127.53,130.38,124.74,128.38,16153936.0
2025-03-22,128.39,131.77,127.71,128.44,9696405.0
2025-03-23,128.43,133.99,128.12,132.77,11218657.0
2025-03-24,132.77,144.9,131.95,140.95,25856117.0
2025-03-25,140.95,147.41,138.09,143.59,23211915.0
2025-03-26,143.6,145.41,135.78,137.26,20546321.0
2025-03-27,137.27,140.14,135.5,138.37,16038347.0
2025-03-28,138.36,138.98,127.48,129.39,22555136.0
2025-03-29,129.39,130.45,122.52,124.5,18346484.0
2025-03-30,124.49,127.01,122.81,124.73,13928820.0
2025-03-31,124.74,127.81,122.58,124.48,22378735.0
2025-04-01,124.47,130.39,123.65,126.6,21006831.0
2025-04-02,126.6,136.2,117.02,117.34,34002918.0
2025-04-03,117.36,120.89,112.17,117.08,29903708.0
2025-04-04,117.09,123.96,113.19,122.72,36088746.0
2025-04-05,122.72,122.8,117.08,120.24,13027534.0
2025-04-06,120.25,121.08,103.76,105.84,35535972.0
2025-04-07,105.84,113.18,95.19,106.91,75490750.0
2025-04-08,106.91,112.5,102.87,105.32,38525999.0
2025-04-09,105.32,120.69,101.23,119.01,55935969.67
2025-04-10,119.0,119.29,108.21,112.73,28127517.86
2025-04-11,112.73,122.65,112.09,121.33,27279629.32
2025-04-12,121.33,134.0,119.29,132.17,28569981.02
2025-04-13,132.16,133.94,125.28,128.3,27394711.92
2025-04-14,128.3,136.09,127.9,129.34,29949323.07
2025-04-15,129.33,134.41,125.73,126.05,23439427.56
2025-04-16,126.05,133.88,123.41,131.3,33465149.25
2025-04-17,131.29,136.26,129.4,134.76,25846477.73
2025-04-18,134.77,135.95,132.36,133.97,14526323.09
2025-04-19,133.97,140.71,133.5,139.77,17774304.83
2025-04-20,139.77,141.87,135.5,137.76,18365965.07
2025-04-21,137.77,143.25,133.75,136.44,28218108.99
2025-04-22,136.44,150.29,134.4,148.71,29965103.05
2025-04-23,148.72,154.14,147.0,151.05,27343533.75
2025-04-24,151.05,152.96,145.06,152.48,22251059.18
2025-04-25,152.48,157.24,149.75,150.76,24478171.33
2025-04-26,150.75,153.15,147.66,149.14,12075945.42
2025-04-27,149.15,150.37,145.39,147.91,12993152.23
2025-04-28,147.9,153.35,144.53,147.76,23903006.42
2025-04-29,147.76,150.37,144.79,146.18,16872983.15
2025-04-30,146.19,148.64,140.25,147.47,21901577.94
2025-05-01,147.47,153.88,147.47,150.73,18745811.77
2025-05-02,150.73,151.86,147.2,147.93,15209536.57
2025-05-03,147.93,149.0,145.74,146.62,10168422.72
2025-05-04,146.62,147.79,143.55,143.87,12173978.16
2025-05-05,143.86,147.67,142.42,146.66,16486753.69
2025-05-06,146.66,147.17,141.3,146.83,17113484.1
2025-05-07,146.83,149.47,144.59,147.27,18771685.63
2025-05-08,147.27,164.61,147.01,164.42,31298406.83
2025-05-09,164.41,176.16,161.02,172.74,34425684.55
2025-05-10,172.74,178.93,168.68,177.86,19265992.83
2025-05-11,177.85,180.29,169.13,173.11,22311448.47
2025-05-12,173.1,181.44,168.27,174.14,33710598.96
2025-05-13,174.15,184.8,166.12,183.7,26894880.87
2025-05-14,183.7,184.87,173.15,176.51,22610580.37
2025-05-15,176.51,178.23,166.55,169.06,25491932.66
2025-05-16,169.06,174.16,166.22,167.33,18061064.71
2025-05-17,167.33,169.95,163.91,165.87,16744002.36
2025-05-18,165.87,176.73,164.5,173.24,22124057.51
2025-05-19,173.25,173.87,159.28,166.76,27244529.53
2025-05-20,166.76,173.06,164.4,168.51,21947126.47
2025-05-21,168.51,175.92,165.34,173.5,33065481.41
2025-05-22,173.5,180.82,172.4,179.6,23205120.54
2025-05-23,179.61,187.67,173.18,173.92,37351156.03
2025-05-24,173.92,178.22,172.52,175.81,14265329.48
2025-05-25,175.82,176.82,169.05,175.65,18127420.56
2025-05-26,175.64,178.96,173.37,174.8,14813072.89
2025-05-27,174.8,179.37,171.06,176.64,18734251.84
2025-05-28,176.64,177.38,168.8,172.11,16915674.2
2025-05-29,172.12,175.28,165.87,166.62,18527620.84
2025-05-30,166.61,167.41,155.01,156.12,25265495.15
2025-05-31,156.11,157.18,152.06,155.62,12635387.16
2025-06-01,156.36,156.65,155.54,155.77,750381.53
